i,X,Y,Ang
0,10,313,180.0
1,14,297,180.0
2,24,410,-126.86989682622134
3,28,372,-0.0
4,32,273,180.0
5,37,199,53.130103173778664
6,39,236,-45.0
7,40,279,180.0
8,42,177,45.0
9,42,182,180.0
10,43,283,63.43494882292201
11,44,306,-45.0
12,46,396,-158.19859021924347
13,47,187,45.0
14,48,211,-40.601294926247554
15,48,225,-33.69006831407853
16,48,272,150.25511759971954
17,48,355,45.0
18,50,242,-0.0
19,52,255,-99.46232220802561
20,52,329,90.0
21,53,211,68.19859051364818
22,54,238,-35.53767843807335
23,54,240,-0.0
24,54,247,-49.39870439073352
25,57,121,146.30993168592147
26,57,214,-39.8055704204433
27,57,233,180.0
28,57,299,45.0
29,58,256,-0.0
30,58,271,-143.13010235415598
31,58,299,53.130103173778664
32,58,334,-0.0
33,58,351,-49.39870439073352
34,58,360,146.30993168592147
35,59,197,-18.434949335186197
36,59,214,-90.0
37,59,262,130.6012956092665
38,59,286,9.462322484925178
39,59,362,90.0
40,59,372,-0.0
41,60,326,-143.13010235415598
42,61,177,53.130103173778664
43,61,200,-39.8055704204433
44,61,287,45.0
45,61,309,164.0546034225018
46,61,372,18.434949335186197
47,62,221,-39.8055704204433
48,62,237,-158.19859021924347
49,62,312,74.05460409907715
50,62,362,-0.0
51,63,184,-38.659808670565035
52,63,212,-158.19859021924347
53,63,317,38.659808670565035
54,64,237,-116.56505117707799
55,64,247,59.036242865262714
56,64,270,116.56505117707799
57,65,324,-158.19859021924347
58,66,164,78.69006752597979
59,66,195,-0.0
60,66,241,140.1944295795567
61,67,198,-0.0
62,67,217,-49.39870439073352
63,68,222,139.39870507375244
64,68,259,153.43494882292202
65,68,355,9.462322484925178
66,68,396,8.130102712740909
67,69,171,74.05460409907715
68,69,212,129.80556997256207
69,69,222,171.86989728725908
70,69,277,38.659808670565035
71,70,240,-71.56505117707799
72,70,267,18.434949335186197
73,70,387,129.80556997256207
74,71,107,81.86989764584403
75,71,181,23.198590719731484
76,71,201,-90.0
77,71,229,180.0
78,71,285,15.945396577498194
79,72,407,-14.036243467926479
80,73,304,171.86989728725908
81,73,330,90.0
82,73,398,15.945396577498194
83,74,282,150.25511759971954
84,74,283,168.69006736179256
85,75,146,18.434949335186197
86,75,148,-143.13010235415598
87,75,189,108.43494882292201
88,75,314,-36.86989764584402
89,75,418,156.8014092802685
90,76,412,-90.0
91,77,134,161.5650506648138
92,77,155,-18.434949335186197
93,77,330,180.0
94,77,338,90.0
95,78,347,15.945396577498194
96,79,91,180.0
97,79,233,26.56505117707799
98,79,234,-74.05460409907715
99,79,293,63.43494882292201
100,80,329,71.56505117707799
101,81,56,-11.309932638207453
102,81,125,-108.43494882292201
103,81,311,171.86989728725908
104,81,358,26.56505117707799
105,82,141,180.0
106,82,153,81.86989764584403
107,82,408,-15.945396577498194
108,83,123,-158.19859021924347
109,83,129,-45.0
110,83,311,149.0362424634869
111,83,401,-90.0
112,84,164,-126.86989682622134
113,84,420,18.434949335186197
114,86,140,105.94539590092285
115,86,322,23.198590719731484
116,87,101,-74.05460409907715
117,87,141,-45.0
118,87,352,45.0
119,89,111,180.0
120,89,116,63.43494882292201
121,89,331,30.963757536513096
122,89,344,8.130102712740909
123,90,113,105.94539590092285
124,91,154,-66.8014087797805
125,92,124,180.0
126,92,138,30.963757536513096
127,93,361,39.8055704204433
128,94,66,135.0
129,94,143,68.19859051364818
130,94,332,-158.19859021924347
131,94,362,-9.462322484925178
132,95,67,-15.945396577498194
133,96,97,180.0
134,97,104,81.86989764584403
135,97,425,15.945396577498194
136,98,54,-143.13010235415598
137,98,56,113.1985912202195
138,98,353,-8.130102712740909
139,98,422,164.0546034225018
140,98,423,-0.0
141,99,108,-49.39870439073352
142,99,129,135.0
143,99,141,81.86989764584403
144,99,333,-18.434949335186197
145,100,54,-170.53767751507482
146,100,373,-15.945396577498194
147,102,69,-101.30993247402021
148,103,333,164.0546034225018
149,103,344,26.56505117707799
150,104,64,135.0
151,104,75,36.86989764584402
152,104,78,-74.05460409907715
153,104,365,180.0
154,104,374,-0.0
155,105,92,-126.86989682622134
156,105,374,71.56505117707799
157,106,54,45.0
158,106,85,126.86989682622134
159,106,87,18.434949335186197
160,106,323,-56.309932474020215
161,106,365,171.86989728725908
162,107,50,105.94539590092285
163,107,62,8.130102712740909
164,107,64,-49.39870439073352
165,107,384,144.46232156192664
166,108,123,-0.0
167,109,60,-49.39870439073352
168,109,62,135.0
169,109,104,-38.659808670565035
170,110,71,149.0362424634869
171,110,123,23.198590719731484
172,110,132,129.80556997256207
173,110,133,81.86989764584403
174,110,324,-8.130102712740909
175,110,345,141.34019132943496
176,111,111,9.462322484925178
177,113,347,-126.86989682622134
178,114,101,8.130102712740909
179,116,61,164.0546034225018
180,116,93,-0.0
181,117,98,161.5650506648138
182,117,402,9.462322484925178
183,117,436,171.86989728725908
184,119,66,15.945396577498194
185,119,394,130.6012956092665
186,119,423,30.963757536513096
187,119,428,-8.130102712740909
188,119,435,-9.462322484925178
189,121,78,-74.05460409907715
190,121,328,-170.53767751507482
191,121,349,45.0
192,121,350,8.130102712740909
193,122,50,23.198590719731484
194,122,54,-90.0
195,124,61,143.13010235415598
196,124,85,26.56505117707799
197,124,329,113.1985912202195
198,125,42,59.036242865262714
199,125,58,-45.0
200,125,59,-30.963757536513096
201,126,60,156.8014092802685
202,126,85,120.96375713473728
203,127,60,-21.80140978075652
204,127,403,156.8014092802685
205,127,413,23.198590719731484
206,128,60,113.1985912202195
207,128,70,-21.80140978075652
208,128,403,71.56505117707799
209,129,60,-99.46232220802561
210,130,80,-9.462322484925178
211,130,101,-153.43494882292202
212,130,110,-54.46232174652635
213,130,111,180.0
214,130,442,14.036243467926479
215,130,462,180.0
216,133,67,15.945396577498194
217,133,413,150.25511759971954
218,134,48,18.434949335186197
219,134,85,141.34019132943496
220,134,438,33.69006831407853
221,135,51,-153.43494882292202
222,136,425,-0.0
223,137,53,161.5650506648138
224,137,56,180.0
225,140,47,59.036242865262714
226,140,56,-63.43494882292201
227,141,115,171.86989728725908
228,141,116,21.80140978075652
229,142,106,130.6012956092665
230,142,451,26.56505117707799
231,145,105,-80.53767779197439
232,147,22,116.56505117707799
233,147,39,45.0
234,148,426,-74.05460409907715
235,151,438,101.30993247402021
236,154,330,-8.130102712740909
237,154,331,-63.43494882292201
238,155,98,45.0
239,157,46,15.945396577498194
240,157,299,-101.30993247402021
241,157,407,98.13010235415597
242,158,48,164.0546034225018
243,158,49,30.963757536513096
244,158,54,-0.0
245,158,68,98.13010235415597
246,158,71,-0.0
247,158,299,-143.13010235415598
248,158,323,-143.13010235415598
249,158,407,21.80140978075652
250,159,46,-66.8014087797805
251,159,47,171.86989728725908
252,160,313,-21.80140978075652
253,161,42,116.56505117707799
254,161,107,8.130102712740909
255,161,313,-158.19859021924347
256,162,37,90.0
257,162,39,-170.53767751507482
258,162,107,18.434949335186197
259,162,325,113.1985912202195
260,163,442,30.963757536513096
261,165,79,53.130103173778664
262,167,43,-38.659808670565035
263,167,52,-59.036242865262714
264,167,54,180.0
265,167,61,53.130103173778664
266,167,115,18.434949335186197
267,167,329,120.96375713473728
268,168,329,9.462322484925178
269,168,338,38.659808670565035
270,168,339,113.1985912202195
271,169,320,171.86989728725908
272,170,320,-8.130102712740909
273,171,42,164.0546034225018
274,171,78,68.19859051364818
275,171,115,-8.130102712740909
276,173,96,51.34019174590991
277,174,105,-63.43494882292201
278,178,42,-63.43494882292201
279,182,442,180.0
280,182,448,81.86989764584403
281,187,42,-38.659808670565035
282,188,97,-143.13010235415598
283,190,330,126.86989682622134
284,193,32,21.80140978075652
285,193,43,33.69006831407853
286,194,97,108.43494882292201
287,194,369,90.0
288,194,370,-40.601294926247554
289,195,331,-14.036243467926479
290,201,398,-63.43494882292201
291,203,415,143.13010235415598
292,207,47,-18.434949335186197
293,207,91,128.65980825409008
294,208,408,-0.0
295,209,57,18.434949335186197
296,209,120,-126.86989682622134
297,209,417,111.80140948635182
298,210,49,120.96375713473728
299,210,120,18.434949335186197
300,210,337,-143.13010235415598
301,211,390,180.0
302,212,408,-81.86989764584403
303,213,90,164.0546034225018
304,214,49,15.945396577498194
305,214,121,-90.0
306,214,339,-143.13010235415598
307,215,113,165.96375653207352
308,216,91,26.56505117707799
309,216,122,90.0
310,217,352,-99.46232220802561
311,217,381,-161.5650506648138
312,219,408,15.945396577498194
313,220,352,-60.25511870305778
314,220,389,38.659808670565035
315,221,93,8.130102712740909
316,221,141,45.0
317,221,142,-90.0
318,222,99,135.0
319,222,381,36.86989764584402
320,223,94,-126.86989682622134
321,223,117,90.0
322,223,343,8.130102712740909
323,223,372,119.74488129694222
324,224,343,-8.130102712740909
325,225,125,-63.43494882292201
326,225,389,150.25511759971954
327,226,144,8.130102712740909
328,227,71,18.434949335186197
329,227,126,18.434949335186197
330,227,363,-126.86989682622134
331,227,380,81.86989764584403
332,228,67,-59.036242865262714
333,228,145,141.34019132943496
334,228,353,-0.0
335,230,97,171.86989728725908
336,230,363,-36.86989764584402
337,231,49,120.96375713473728
338,232,138,-0.0
339,232,139,111.80140948635182
340,232,372,45.0
341,232,380,-90.0
342,232,411,8.130102712740909
343,232,422,146.30993168592147
344,233,130,90.0
345,234,335,36.86989764584402
